File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\xampp\htdocs\elearning\plugins\datatables-rowreorder\css\rowReorder.bootstrap4.css,23,19,15,0,4,0,0,0,0,0
C:\xampp\htdocs\elearning\plugins\datatables-rowreorder\css\rowReorder.bootstrap4.min.css,2,1,4,0,1,0,0,0,0,0
C:\xampp\htdocs\elearning\plugins\datatables-scroller\css\scroller.bootstrap4.css,37,35,25,0,2,0,0,0,0,0
C:\xampp\htdocs\elearning\plugins\datatables-scroller\css\scroller.bootstrap4.min.css,2,1,8,0,1,0,0,0,0,0
C:\xampp\htdocs\elearning\plugins\datatables-searchpanes\css\searchPanes.bootstrap4.css,348,326,249,0,22,0,0,0,0,0
C:\xampp\htdocs\elearning\plugins\datatables-searchpanes\css\searchPanes.bootstrap4.min.css,2,1,66,0,1,0,0,0,0,0
C:\xampp\htdocs\elearning\plugins\datatables-select\css\select.bootstrap4.css,116,113,64,0,3,0,0,0,0,0
C:\xampp\htdocs\elearning\plugins\datatables-select\css\select.bootstrap4.min.css,2,1,25,0,1,0,0,0,0,0
C:\xampp\htdocs\elearning\plugins\daterangepicker\daterangepicker.css,411,337,262,0,73,0,1,4,0,0
C:\xampp\htdocs\elearning\plugins\dropzone\basic.css,40,34,25,0,2,0,4,12,4,12
C:\xampp\htdocs\elearning\plugins\dropzone\dropzone.css,397,391,324,0,2,0,4,12,4,12
C:\xampp\htdocs\elearning\plugins\dropzone\min\basic.min.css,2,1,9,0,1,0,0,0,0,0
C:\xampp\htdocs\elearning\plugins\dropzone\min\dropzone.min.css,2,1,76,0,1,0,0,0,0,0
C:\xampp\htdocs\elearning\plugins\ekko-lightbox\ekko-lightbox.css,2,1,24,0,0,0,1,3,0,0
C:\xampp\htdocs\elearning\plugins\flag-icon-css\css\flag-icon.css,1569,1568,1048,0,1,0,0,0,0,0
C:\xampp\htdocs\elearning\plugins\flag-icon-css\css\flag-icon.min.css,2,1,520,0,1,0,0,0,0,0
C:\xampp\htdocs\elearning\plugins\fontawesome-free\css\all.css,4620,3112,1584,0,1502,0,6,49,4,26
C:\xampp\htdocs\elearning\plugins\fontawesome-free\css\all.min.css,5,1,1512,0,0,0,4,26,4,26
C:\xampp\htdocs\elearning\plugins\fontawesome-free\css\brands.css,16,10,8,0,2,0,4,26,4,26
C:\xampp\htdocs\elearning\plugins\fontawesome-free\css\brands.min.css,5,1,2,0,0,0,4,26,4,26
C:\xampp\htdocs\elearning\plugins\fontawesome-free\css\fontawesome.css,4586,3081,1560,0,1499,0,6,49,4,26
C:\xampp\htdocs\elearning\plugins\fontawesome-free\css\fontawesome.min.css,5,1,1505,0,0,0,4,26,4,26
C:\xampp\htdocs\elearning\plugins\fontawesome-free\css\regular.css,16,10,8,0,2,0,4,26,4,26
C:\xampp\htdocs\elearning\plugins\fontawesome-free\css\regular.min.css,5,1,2,0,0,0,4,26,4,26
C:\xampp\htdocs\elearning\plugins\fontawesome-free\css\solid.css,17,11,8,0,2,0,4,26,4,26
